# ----------------------------------------
# zeniusnet
# Audience Overview
# 20120701-20150630
# ----------------------------------------

Day Index,Avg. Session Duration
7/15/13,00:15:21
7/16/13,00:15:16
7/17/13,00:14:38
7/18/13,00:13:07
7/19/13,00:09:24
7/20/13,00:12:54
7/21/13,00:11:38
7/22/13,00:10:13
7/23/13,00:11:43
7/24/13,00:11:12
7/25/13,00:11:07
7/26/13,00:08:56
7/27/13,00:09:33
7/28/13,00:11:39
7/29/13,00:11:08
7/30/13,00:10:29
7/31/13,00:11:11
8/1/13,00:11:02
8/2/13,00:11:42
8/3/13,00:12:44
8/4/13,00:14:51
8/5/13,00:16:31
8/6/13,00:11:46
8/7/13,00:13:12
8/8/13,00:14:44
8/9/13,00:15:06
8/10/13,00:14:27
8/11/13,00:13:53
8/12/13,00:13:16
8/13/13,00:12:23
8/14/13,00:15:22
8/15/13,00:12:53
8/16/13,00:09:56
8/17/13,00:13:25
8/18/13,00:13:41
8/19/13,00:11:20
8/20/13,00:11:26
8/21/13,00:10:29
8/22/13,00:09:48
8/23/13,00:10:37
8/24/13,00:10:06
8/25/13,00:10:24
8/26/13,00:08:56
8/27/13,00:09:27
8/28/13,00:10:04
8/29/13,00:10:32
8/30/13,00:09:24
8/31/13,00:10:26
9/1/13,00:12:57
9/2/13,00:10:20
9/3/13,00:11:00
9/4/13,00:10:12
9/5/13,00:10:38
9/6/13,00:08:25
9/7/13,00:08:01
9/8/13,00:13:42
9/9/13,00:10:49
9/10/13,00:11:16
9/11/13,00:10:17
9/12/13,00:10:37
9/13/13,00:10:30
9/14/13,00:11:21
9/15/13,00:14:38
9/16/13,00:11:28
9/17/13,00:11:26
9/18/13,00:11:25
9/19/13,00:11:10
9/20/13,00:08:23
9/21/13,00:08:58
9/22/13,00:12:11
9/23/13,00:10:31
9/24/13,00:10:47
9/25/13,00:11:02
9/26/13,00:10:24
9/27/13,00:09:04
9/28/13,00:10:58
9/29/13,00:12:22
9/30/13,00:11:08
10/1/13,00:10:35
10/2/13,00:10:11
10/3/13,00:09:42
10/4/13,00:09:06
10/5/13,00:10:36
10/6/13,00:14:30
10/7/13,00:12:36
10/8/13,00:12:14
10/9/13,00:12:31
10/10/13,00:11:42
10/11/13,00:09:42
10/12/13,00:11:09
10/13/13,00:12:31
10/14/13,00:10:01
10/15/13,00:13:07
10/16/13,00:11:31
10/17/13,00:11:31
10/18/13,00:09:16
10/19/13,00:10:35
10/20/13,00:11:14
10/21/13,00:10:58
10/22/13,00:10:34
10/23/13,00:08:33
10/24/13,00:08:29
10/25/13,00:08:48
10/26/13,00:09:24
10/27/13,00:10:22
10/28/13,00:09:21
10/29/13,00:09:13
10/30/13,00:10:09
10/31/13,00:08:27
11/1/13,00:08:54
11/2/13,00:08:47
11/3/13,00:11:25
11/4/13,00:10:10
11/5/13,00:13:21
11/6/13,00:09:35
11/7/13,00:09:17
11/8/13,00:09:28
11/9/13,00:09:34
11/10/13,00:10:59
11/11/13,00:09:28
11/12/13,00:10:28
11/13/13,00:09:17
11/14/13,00:08:55
11/15/13,00:08:56
11/16/13,00:08:55
11/17/13,00:11:06
11/18/13,00:09:54
11/19/13,00:10:31
11/20/13,00:10:34
11/21/13,00:10:06
11/22/13,00:09:52
11/23/13,00:10:28
11/24/13,00:12:00
11/25/13,00:10:40
11/26/13,00:10:29
11/27/13,00:09:39
11/28/13,00:08:51
11/29/13,00:08:58
11/30/13,00:09:38
12/1/13,00:12:55
12/2/13,00:11:26
12/3/13,00:11:42
12/4/13,00:12:19
12/5/13,00:11:14
12/6/13,00:09:40
12/7/13,00:10:15
12/8/13,00:12:05
12/9/13,00:09:43
12/10/13,00:10:25
12/11/13,00:10:42
12/12/13,00:09:36
12/13/13,00:08:36
